Fraudulent,Transaction_Amount,Transaction_Type,Time_of_Transaction,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Device_Used
1,10988.7006373254,Bill Payment,21.172443395516783,Chicago,1.071019253526329,49.48579070391615,7.148879726150622,Debit Card,Desktop
1,2652.9653884511426,Bank Transfer,19.27989332343249,New York,1.0083564417533561,104.10978134091864,10.161954429038662,Debit Card,Mobile
1,-2658.171051854254,Bill Payment,9.364564275320422,Boston,2.714506636196438,24.344029280393052,9.926616153724934,UPI,Tablet
1,6658.948126898935,Bill Payment,21.763433720421464,Seattle,2.57460223904939,32.28808586591509,4.315110743639778,Debit Card,Desktop
1,6946.136679436981,ATM Withdrawal,5.268807115342604,Houston,1.0788099015611659,79.3677961401489,6.2291064191308365,Net Banking,Mobile
1,-7797.660904650052,Bill Payment,14.737538435392834,Chicago,2.655273132018552,45.49071517342034,12.755579352915944,Credit Card,Tablet
1,-2262.1898210117834,Online Purchase,18.186416003015246,Los Angeles,4.658059091993014,52.47634251720062,8.001299233553759,UPI,Unknown Device
1,-850.8702919018892,Bank Transfer,20.747152829666106,San Francisco,0.5100086175546881,160.83551100919408,0.6989412875536445,Credit Card,Desktop
1,5395.599315343055,Bill Payment,10.8437929981383,Boston,0.8888144462661749,41.736961233542715,11.682853121211835,Credit Card,Tablet
1,-2931.92076835475,Online Purchase,15.393463818395775,Seattle,2.2447455069313778,-13.005927981389192,12.986571439452678,Invalid Method,Tablet
1,-831.5376789306283,POS Payment,14.143504236427985,Houston,-0.5595697411556766,58.421640163525254,2.266790198890652,Debit Card,Mobile
1,4983.937253191503,POS Payment,15.800818009768054,Seattle,1.9125760310173763,34.73449858800713,4.11124221111014,UPI,Mobile
1,1052.033221448176,ATM Withdrawal,10.330643658915601,San Francisco,1.2010942305926415,122.98136515753504,3.5089658764056724,UPI,Tablet
1,9395.645755915817,Bank Transfer,14.186576357685423,San Francisco,1.3784540091202664,61.9540307542771,1.587716035364057,UPI,Desktop
1,14793.44767445097,ATM Withdrawal,14.609710198705281,New York,3.4094510074927333,69.72248101118575,4.831056636080409,Debit Card,Mobile
1,4648.760664563569,Bill Payment,-1.3391719213463542,Boston,1.7260685621678749,70.22370072382903,8.220040375272463,Debit Card,Unknown Device
1,9662.823671652386,Online Purchase,10.902335213367456,New York,2.1081058910937065,95.97935794876096,2.79064719667938,Net Banking,Tablet
1,6046.319104042475,Bill Payment,15.685194010785215,Los Angeles,3.071930056703547,79.97339472788545,11.909165356579347,Net Banking,Desktop
1,3651.381198943093,Online Purchase,19.258287442171657,Chicago,3.5670210458485943,89.52208555086335,13.280124788155469,Debit Card,Mobile
1,11185.901780554286,POS Payment,6.197124964575695,Chicago,2.68548127445942,81.79146657065209,1.9463344704385115,Credit Card,Unknown Device
